coin,snapshot height,balance
BTC(ALL),765333,25736.87098
ETH(ALL),-,143403.1463
ETH,16083851,125887.256
ETH-Arbitrum,42480854,7785.838076
ETH-Optimism,43950280,9730.052181
USDT(ALL),-,748602233.9
USDT-Avalanche C-Chain,23040384,56028922.25
USDT-TRC20,46412262,28005623.75
USDT-ETH,16083851,664567687.9
TRX(ALL),46412262,9668619974
HT(ALL),16083851,191262859.9

coin,address,snapshot height,balance,message,signature
USDT-ETH,0x3d655889d197125fb90dcb72e4a287a8410ed1b9,-,-,King will be back!,
USDT-ETH,0x18709e89bd403f470088abdacebe86cc60dda12e,16083851,500000002,King will be back!,
USDT-ETH,0x46705dfff24256421a05d056c29e81bdc09723b8,16083851,30397373.97,King will be back!,0x06c26e75ec59e142db7bf6914052bda97be5a354e470ad7d0cdfb12681b496f03d76bd77857987cc125356220b1c0f0db5046ecef508ce09c425f337a274824400
USDT-ETH,0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,16083851,16688447.28,King will be back!,0x7a499963f28d36b25a5f28aefa2a63e4d9ddc66b819165c3bb6d9bd057327c1f6135cff446e25dc6bd6822ce9524916a923fe38b988bb9564de84c0815b85c7601
USDT-ETH,0xab5c66752a9e8167967685f1450532fb96d5d24f,16083851,16174894.78,King will be back!,0x7888cfc2e1866181fe7f3362e5f53aeaaf5bbacf837422e9a338fe8cc76c6a90202ca31ac421c094888f7c9d1692343913f05810d03a1c5336a754068833253601
USDT-ETH,0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,16083851,6732472.604,King will be back!,0x835985155d138b5b9300b92651dfa940ac95af5520774233e4001ab420a4898e384e2f54187ee64e4f08934327ed78882dedcd214b77c7f4236d4a03d226a6b700
USDT-ETH,0x0a98fb70939162725ae66e626fe4b52cff62c2e5,16083851,4608206.086,King will be back!,0xaab74b82dcb07c947c12e68aef334cd915e9a574090163fcf973b13ebd957ed81d3660b729ca4b60eba4d351adb8699f367e8fd1ceabf06d71c0f7d6b3e5e68d01
USDT-ETH,0xfdb16996831753d5331ff813c29a93c76834a0ad,16083851,3932083.043,King will be back!,0x316f1810661b705c08bbcedf56f2666d3118e1cf2e1cab61f13340c3aabe82c512ddf4b3d32a0b65cc7391a8fcbfac869496cfab0d1ac9febbe7b54058ea271e00
USDT-ETH,0xeee28d484628d41a82d01e21d12e2e78d69920da,16083851,71322.97158,King will be back!,0x1d8a0ecc9176c0f63462953876737c708945171c73a71692da1e1790da425c23757fb4638b09f7487702fa04aa98a37523a6992c1c319cf9f14a4c673d24fbf300
USDT-ETH,0x1062a747393198f70f71ec65a582423dba7e5ab3,16083851,3635098.198,King will be back!,0x5c241955c2f482b0ec1770d9d0d64551e7a103945e0e9810aae657d414aa8d5a1c8764d7df149270cc3ceba43e4429bc1c4d8fd611eeb0c5ecf16936238a705001
